Subject,Section,Actual_Placements,Missing
HOMEROOM,ABM 11-C,1,1
HOMEROOM,ABM 11-D,1,1
HOMEROOM,ABM 11-E,1,1
HOMEROOM,ABM 11-F,1,1
HOMEROOM,ABM 11-G,1,1
HOMEROOM,ABM 11-H,1,1
HOMEROOM,ABM 11-I,1,1
HOMEROOM,ABM 11-J,1,1
HOMEROOM,ABM 12-A,1,1
HOMEROOM,ABM 12-B,1,1
HOMEROOM,ABM 12-C,1,1
HOMEROOM,ABM 12-D,1,1
HOMEROOM,ABM 12-E,1,1
HOMEROOM,ABM 12-F,1,1
HOMEROOM,ABM 12-G,1,1
HOMEROOM,ABM 12-H,1,1
HOMEROOM,ABM 12-I,1,1
HOMEROOM,ABM 12-J,1,1
HOMEROOM,ADT 11-A,1,1
HOMEROOM,ADT 11-B,1,1
HOMEROOM,ADT 12-A,1,1
HOMEROOM,ADT 12-B,1,1
HOMEROOM,ADT 12-C,1,1
HOMEROOM,HUMSS 11-A,1,1
HOMEROOM,HUMSS 11-B,1,1
HOMEROOM,HUMSS 11-C,1,1
HOMEROOM,HUMSS 11-D,1,1
HOMEROOM,HUMSS 11-E,1,1
HOMEROOM,HUMSS 12-A,1,1
HOMEROOM,HUMSS 12-B,1,1
HOMEROOM,HUMSS 12-C,1,1
HOMEROOM,HUMSS 12-D,1,1
HOMEROOM,SPT 11-A,1,1
HOMEROOM,SPT 12-A,1,1
HOMEROOM,STEM 11-A,1,1
HOMEROOM,STEM 11-B,1,1
HOMEROOM,STEM 11-C,1,1
HOMEROOM,STEM 11-D,1,1
HOMEROOM,STEM 11-E,1,1
HOMEROOM,STEM 11-F,1,1
HOMEROOM,STEM 11-G,1,1
HOMEROOM,STEM 11-H,1,1
HOMEROOM,STEM 11-I,1,1
HOMEROOM,STEM 11-J,1,1
HOMEROOM,STEM 11-K,1,1
HOMEROOM,STEM 11-L,1,1
HOMEROOM,STEM 11-M,1,1
HOMEROOM,STEM 11-N,1,1
HOMEROOM,STEM 12-A,1,1
HOMEROOM,STEM 12-B,1,1
HOMEROOM,STEM 12-C,1,1
HOMEROOM,STEM 12-D,1,1
HOMEROOM,STEM 12-E,1,1
HOMEROOM,STEM 12-F,1,1
HOMEROOM,STEM 12-G,1,1
HOMEROOM,STEM 12-H,1,1
HOMEROOM,STEM 12-I,1,1
HOMEROOM,STEM 12-K,1,1
HOMEROOM,STEM 12-L,1,1
HOMEROOM,STEM 12-M,1,1
HOMEROOM,STEM 12-N,1,1
HOMEROOM,STEM 12-O,1,1
HOMEROOM,STEM 12-P,1,1
HOMEROOM,STEM 12-Q,1,1
HOMEROOM,STEM 12-R,1,1
HOMEROOM,STEM 12-S,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTCWR-1,T-ADTCWR-1,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTDNC-1,T-ADTDNC-1,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTMUS-1,T-ADTMUS-1,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTTAR-1,T-ADTTAR-1,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTVMA-1,T-ADTVMA-1,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTVMA-2,T-ADTVMA-2,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTVMA-3,T-ADTVMA-3,1,1
INTRODUCTION TO THE PHILOSOPHY OF THE HUMAN PERSON,ABM 12-G,1,1
INTRODUCTION TO THE PHILOSOPHY OF THE HUMAN PERSON,STEM 12-O,1,1
KOMUNIKASYON AT PANANALIKSIK SA WIKA AT KULTURANG PILIPINO,STEM 11-G,1,1
KOMUNIKASYON AT PANANALIKSIK SA WIKA AT KULTURANG PILIPINO,STEM 11-H,1,1
MEDIA AND INFORMATION LITERACY,ABM 12-D,1,1
ORAL COMMUNICATION IN CONTEXT,HUMSS 11-D,1,1
ORAL COMMUNICATION IN CONTEXT,STEM 11-E,1,1
ORAL COMMUNICATION IN CONTEXT,STEM 11-F,1,1
ORAL COMMUNICATION IN CONTEXT,STEM 11-H,1,1
ORAL COMMUNICATION IN CONTEXT,STEM 11-M,1,1
ORAL COMMUNICATION IN CONTEXT,STEM 11-N,1,1
ORGANIZATION AND MANAGEMENT,ABM 11-C,1,1
ORGANIZATION AND MANAGEMENT,ABM 11-J,1,1
PERSONAL DEVELOPMENT,STEM 11-J,1,1
PERSONAL DEVELOPMENT,STEM 11-M,1,1
PHYSICAL EDUCATION AND HEALTH 1,ADT 11-A,1,1
PHYSICAL EDUCATION AND HEALTH 1,SPT 11-A,1,1
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-A,1,1
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-B,1,1
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-C,1,1
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-D,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-A,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-B,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-C,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-D,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-E,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-F,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-G,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-H,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-I,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-J,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-A,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-B,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-C,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-D,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-E,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-G,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-H,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-I,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-J,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-K,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-L,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-M,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-N,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-O,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-P,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-Q,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-R,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-S,1,1
PRACTICAL RESEARCH 2,ABM 12-A,1,1
PRACTICAL RESEARCH 2,ABM 12-I,1,1
PRACTICAL RESEARCH 2,ADT 12-A,1,1
PRACTICAL RESEARCH 2,HUMSS 12-C,1,1
PRACTICAL RESEARCH 2,STEM 12-M,1,1
STATISTICS AND PROBABILITIES,STEM 12-P,1,1
